,node_sourcebus.3_harmonico_60,node_sourcebus.3_harmonico_180,node_sourcebus.3_harmonico_300,node_sourcebus.3_harmonico_420,node_sourcebus.3_harmonico_540,node_sourcebus.3_harmonico_660,node_sourcebus.3_harmonico_780,node_sourcebus.3_harmonico_900,node_sourcebus.3_harmonico_1020,node_sourcebus.3_harmonico_1140,node_sourcebus.3_harmonico_1260,node_sourcebus.3_harmonico_1380,node_sourcebus.3_harmonico_1500,node_sourcebus.3_harmonico_1620,node_sourcebus.3_harmonico_1740,node_sourcebus.3_harmonico_1860,node_sourcebus.3_harmonico_1980,node_sourcebus.3_harmonico_2100,node_sourcebus.3_harmonico_2220,node_sourcebus.3_harmonico_2340,node_sourcebus.3_harmonico_2460,node_sourcebus.3_harmonico_2580,node_sourcebus.3_harmonico_2700,node_sourcebus.3_harmonico_2820,node_sourcebus.3_harmonico_2940
93,12696.340429820662,0.0289630593739668,0.0615056784404901,0.0111319432249466,0.0084786443891599,0.0112592592161965,0.0150494129567868,0.0193270016830199,0.024039381451316,0.0291904360843667,0.0347515097550253,0.0407781233815449,0.0485246419657316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,-848.5768576080624,-0.0154122978949281,-0.0353420015409143,-0.0021990505782005,0.0020361632411195,0.0021017547536182,0.0014851405883685,0.0006051323237782,-0.0005516672757079,-0.0021540109412871,-0.0045317707538922,-0.0082141057216756,-0.0136069273326273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,-12362.777497009369,-0.0156124471029425,-0.0327546113914563,0.000194141588824,0.0021072397130703,0.0016510227876409,0.0008561899389197,-9.078376965345296e-05,-0.0012400146874392,-0.0027322509493363,-0.0048087940438409,-0.0078235067629664,-0.0119798546957753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,13425.595630128251,0.0346245047764641,0.0742617979765699,0.0025819887135023,-0.0040476102287595,-0.0037991096931719,-0.0026394146654048,-0.001317467288122,4.0099550970256856e-05,0.0014064909422926,0.0027556921539998,0.004070702018021,0.0056338354498021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,-862.4706564003455,-0.0155376595353459,-0.0357672088917867,-0.0017485032060889,0.0027614519910131,0.0030542617753437,0.0027133831208383,0.0021994012968786,0.0015531179128029,0.0006957703088181,-0.0005488365608345,-0.0024765284890133,-0.0053479239058756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,-12321.62307462576,-0.015765008288426,-0.033164791482163,0.0006961212435415,0.0028243933120036,0.0025617136944261,0.0019995104540086,0.0013502418021726,0.00059730270228,-0.0003461317919766,-0.0016327942157341,-0.0034881802102805,-0.0060456333761257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,13409.931673758332,0.0350222252303103,0.0752568834653712,0.0015890915921717,-0.0054835888737379,-0.0055535064745085,-0.0047303330148178,-0.0037860752677595,-0.0028559841963749,-0.0019704431897099,-0.0011542868621687,-0.0004320754660006,0.0003541532003868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,-878.9773203615625,-0.0156868103446015,-0.0362757534717452,-0.0012187198265632,0.0036178683761914,0.0041807792530437,0.0041678140715948,0.004089476507848,0.0040513809118762,0.0040824168748116,0.0041903248158373,0.004358798011617,0.0045020230507251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,-12273.372548013134,-0.0159465556895264,-0.0336564349841127,0.0012878932063829,0.0036725659218379,0.0036402851961155,0.0033550785378419,0.0030605616877891,0.002780304333985,0.0024921353807594,0.0021495694397607,0.0016812348826433,0.0010383522344697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,13392.447963785082,0.0354951234681464,0.076445062135171,0.0004170263199945,-0.0071828564412142,-0.0076315892506085,-0.0072088728275083,-0.0067143269075321,-0.006293575796368,-0.005981342082194,-0.0058010459093802,-0.0057862258798476,-0.0059279374740353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,-876.8531077886123,-0.0156810192661595,-0.0362420986108645,-0.0011968341545734,0.0036340648014988,0.0041954379910018,0.0041821562304037,0.0041040238926875,0.0040664279844217,0.0040981575817846,0.0042068724367236,0.004376138056598,0.0045199464146494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,-12268.362827886664,-0.0159422543286323,-0.0336261523838686,0.0013060232885721,0.0036865185268288,0.0036531969007398,0.0033678412227548,0.003073534607299,0.0027936542012113,0.0025059219385648,0.0021637641664445,0.0016957655580409,0.001053438887331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
